summary,mask_perimeter,mask_area,mask_compactness,mask_convexity,mask_solidity,bending_energy,total_abs_curv,nearest_boundary_score_slope,nearest_boundary_score_err,convex_overlap,surroundedness_degree,case
50%,218.52185904979706,722.5,0.1625625425274627,0.5924943220263834,0.603926847364062,3.4497551909245976,1.0799861831532724,467.0240954871758,31.089084497442524,0.0,0.0,13
75%,322.07568180561066,1145.25,0.24270889695748038,0.6740782574251026,0.6987532067392113,3.7720164546325226,1.1556837597728018,772.1890528323322,63.97598479185888,0.00797526637618542,0.6207042780583918,13
max,6281.090194344521,43079.0,0.5915400852921252,0.8818684100877775,0.9549330085261876,5.651268047984008,1.526892081636033,1063.5247500996018,249.63771878673336,0.27956989247311825,0.8594366926962348,13
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14
mean,516.8820595955849,1997.0,0.12361294253251835,0.5212114005597058,0.5384575351318707,3.2443704635122823,1.038228576333323,373.22915620180225,97.22973967690794,0.005544693058316972,0.21366551110086948,14
std,358.02276911774555,1825.3277718665968,0.07867850912538567,0.12569151666948378,0.10632875814480022,0.7755101618761702,0.16075509127534643,179.50378574297957,108.82408885268465,0.013703785407141194,0.3321723666144342,14
min,155.4385987520218,902.0,0.020638668582046195,0.27582312331198555,0.33241793062655794,1.2928153681635277,0.5388606233175318,112.15009718195381,2.4092016926745212,0.0,0.0,14
25%,319.19090580940247,1093.0,0.07133417009587432,0.42958589035911754,0.4638742137429737,2.8242028623444075,0.9548736673958942,219.1868842497167,18.414843893095423,0.0,0.0,14
50%,410.3954864144325,1380.0,0.1012714835295585,0.5054090060806129,0.5250112262263069,3.2711745169640567,1.0330722652483941,360.3971096070985,52.50085765054274,0.0,0.0,14
75%,552.763017475605,2005.25,0.15232293699865465,0.6086386524280955,0.6118885690534835,3.7456756671115956,1.141983222845316,478.07733163610584,141.3335515040852,0.004432263108958589,0.6732254092787172,14
max,2188.750554203987,12648.0,0.4873396082435511,0.8366130874835683,0.7940677966101695,5.164733537009646,1.4839785349540475,941.221991034584,416.63445635262127,0.09741379310344828,0.82123950635418,14
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15
mean,501.1023923790455,2046.77,0.2029264951780889,0.6053958934170895,0.609863749134682,3.354201973079538,1.049011318266531,243.8145699618155,16.376130432691642,0.038748806196000206,0.18554283265653163,15
std,629.1525617623495,3072.792731179224,0.157625073118833,0.18881308726028925,0.1601811275923421,0.9462906761760771,0.1887788575083244,119.53420017350874,15.513723394093624,0.06751989448109766,0.32441073141977433,15
min,69.35533845424652,217.0,0.0164550250964173,0.21556002570143437,0.33815641761257326,0.7002084203475558,0.4457665251715247,88.36179230943559,0.6282593751013983,0.0,0.0,15
25%,143.90306490659714,392.75,0.07031679312669976,0.4594630964460804,0.47200467698503074,2.7900073236755167,0.9449206609952325,128.75961750701555,5.043822974616305,0.0,0.0,15
50%,209.67261689901352,841.5,0.1668403913556565,0.6387815528433833,0.6072092159048681,3.324170212729028,1.048325996833663,233.9050191761459,10.256412479519216,0.00944006285725086,0.0,15
75%,503.4848430156708,1945.75,0.2888636673277317,0.7523848682246925,0.7247103015184696,3.9095494887894473,1.1535075600825824,332.61750692471617,25.562570436698316,0.049228690462785725,0.12175353146529994,15
max,3610.22485435009,17067.0,0.7367085197190386,0.9456807580282175,1.0236406619385343,7.045079457356548,1.6318828506146978,533.8942900581081,68.93244510448585,0.359375,0.82123950635418,15
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16
mean,656.302264266014,3206.03,0.14145810805405487,0.5372464873300062,0.5702438536433749,3.6891234778362967,1.1653747215110424,159.6756495507583,11.538168401349564,0.054854261819685314,0.470493842768261,16
std,1429.093651925635,10307.268171572285,0.08886421812659775,0.12859316482174385,0.11517989261625637,0.7651989717105633,0.15510925155437652,79.63689298034149,13.713623072231373,0.07479107945084898,0.3654780603281382,16
